Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,61.900002,62.040001,61.259998,61.959999,45.959400,3563648
2018-06-11,60.900002,61.419998,60.459999,61.419998,45.558846,5177768
2018-06-12,62.099998,62.570000,61.880001,62.310001,46.219009,5396143
2018-06-13,62.410000,62.490002,61.520000,61.730000,45.788795,3353213
2018-06-14,61.200001,63.430000,61.119999,63.189999,46.871765,5353335
2018-06-15,63.270000,63.630001,62.090000,62.320000,46.226429,19826443
2018-06-18,61.939999,62.189999,61.139999,61.730000,45.788795,3186041
2018-06-19,60.820000,61.139999,60.330002,60.900002,45.173134,3516204
2018-06-20,61.119999,61.389999,60.369999,60.450001,44.839344,4648994
2018-06-21,58.799999,59.000000,57.549999,57.840000,42.903343,12572354
2018-06-22,57.730000,57.849998,56.860001,57.660000,42.769833,5853207
2018-06-25,57.200001,57.250000,56.070000,56.070000,41.590439,5465282
2018-06-26,56.500000,56.930000,55.270000,55.630001,41.264061,5249924
2018-06-27,55.549999,56.639999,54.900002,55.630001,41.264061,6331022
2018-06-28,55.500000,56.180000,54.790001,55.230000,40.967358,4907462
2018-06-29,55.889999,55.930000,54.980000,55.130001,40.893181,4183949
2018-07-02,54.950001,56.410000,54.779999,55.580002,41.226971,6031725
2018-07-03,55.860001,56.669998,55.580002,56.070000,41.590439,4520172
2018-07-04,56.119999,56.639999,56.000000,56.380001,41.820381,2866553
2018-07-05,58.000000,59.160000,57.840000,58.500000,43.392906,6350523
2018-07-06,59.070000,59.070000,57.639999,58.040001,43.051704,4409486
2018-07-09,58.439999,58.450001,57.540001,58.099998,43.096207,2621722
2018-07-10,58.200001,58.490002,57.830002,58.349998,43.281647,2317361
2018-07-11,57.840000,57.919998,57.099998,57.180000,42.413784,3634792
2018-07-12,57.650002,57.650002,56.689999,57.160000,42.398949,2855572
2018-07-13,57.410000,57.669998,57.150002,57.250000,42.465710,2298258
2018-07-16,57.180000,57.459999,56.820000,57.080002,42.339615,2364663
2018-07-17,56.980000,57.790001,56.950001,57.480000,42.636314,2862884
2018-07-18,58.230000,58.630001,58.020000,58.259998,43.214886,3292650
2018-07-19,58.299999,58.830002,58.259998,58.639999,43.496754,2948865
2018-07-20,58.610001,58.610001,56.849998,57.259998,42.473125,5398382
2018-07-23,57.090000,57.740002,56.759998,57.740002,42.829178,2341470
2018-07-24,58.119999,59.720001,58.029999,59.169998,43.889885,4640428
2018-07-25,58.980000,59.070000,57.310001,57.880001,42.933022,4128731
2018-07-26,58.500000,59.750000,57.090000,59.509998,44.142086,6761972
2018-07-27,59.419998,59.930000,58.889999,59.290001,43.978901,3650970
2018-07-30,59.150002,59.619999,59.009998,59.349998,44.023403,1913581
2018-07-31,59.200001,59.680000,58.820000,59.150002,43.875057,3825862
2018-08-01,59.400002,59.410000,58.060001,58.240002,43.200054,4045856
2018-08-02,57.840000,57.919998,56.759998,57.410000,42.584393,3830268
2018-08-03,57.580002,58.529999,57.389999,58.160000,43.140709,2395590
2018-08-06,58.389999,58.990002,58.090000,58.250000,43.207466,2263625
2018-08-07,58.459999,59.400002,58.459999,58.889999,43.682198,2814065
2018-08-08,58.810001,59.270000,58.590000,59.060001,43.808300,1794580
2018-08-09,58.910000,59.380001,58.639999,59.040001,43.793465,2066612
2018-08-10,58.700001,58.700001,56.970001,57.200001,42.428627,4484731
2018-08-13,57.400002,57.860001,57.230000,57.230000,42.450874,2508866
2018-08-14,57.419998,57.619999,56.060001,56.450001,41.872303,3192461
2018-08-15,56.619999,56.919998,54.750000,55.049999,40.833839,5133679
2018-08-16,55.570000,55.720001,55.049999,55.290001,41.011864,2770577
2018-08-17,55.299999,55.459999,54.220001,54.919998,40.737408,3762564
2018-08-20,55.150002,55.590000,54.919998,55.290001,41.011864,1958014
2018-08-21,55.160000,55.990002,54.759998,55.869999,41.442085,2945241
2018-08-22,55.759998,56.369999,54.360001,55.299999,41.019279,4283446
2018-08-23,55.110001,55.290001,54.349998,54.410000,40.359119,2746752
2018-08-24,54.599998,55.000000,54.349998,54.750000,40.611313,2017459
2018-08-27,55.060001,56.209999,55.000000,56.110001,41.620106,2587137
2018-08-28,56.560001,56.980000,56.299999,56.299999,41.761044,2667177
2018-08-29,56.450001,56.730000,56.009998,56.669998,42.035492,1914798
2018-08-30,56.540001,57.330002,55.689999,56.650002,42.020657,3228762
2018-08-31,55.860001,56.270000,55.630001,55.700001,41.315987,3345369
2018-09-03,55.599998,55.650002,54.750000,55.000000,40.796753,2435014
2018-09-04,55.180000,55.209999,53.860001,54.200001,40.203346,3353876
2018-09-05,53.930000,54.660000,53.520000,54.279999,40.262688,3907174
2018-09-06,54.320000,55.090000,54.169998,54.320000,40.292358,2738082
2018-09-07,54.320000,54.500000,54.099998,54.480000,40.411037,2590854
