Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,112.500000,114.300003,111.760002,113.800003,97.295570,2202474
2018-06-11,114.680000,115.980003,114.279999,115.680000,98.902908,2203132
2018-06-12,116.199997,116.540001,115.440002,115.879997,99.073898,1977982
2018-06-13,115.919998,119.360001,115.279999,118.660004,101.450722,4258943
2018-06-14,118.000000,121.080002,117.839996,120.699997,103.194855,4612026
2018-06-15,120.900002,121.260002,118.879997,119.620003,102.271492,7256669
2018-06-18,118.980003,119.339996,117.820000,118.400002,101.228424,2090356
2018-06-19,117.040001,117.199997,115.699997,116.320000,99.450089,2748516
2018-06-20,116.779999,117.139999,116.160004,116.540001,99.638184,2091432
2018-06-21,116.779999,117.040001,114.339996,114.779999,98.133438,2839212
2018-06-22,114.660004,116.419998,114.580002,116.300003,99.432991,2212603
2018-06-25,115.260002,115.639999,113.120003,113.120003,96.714195,2327932
2018-06-26,113.599998,113.900002,111.620003,112.120003,95.859215,2035967
2018-06-27,112.320000,115.160004,110.940002,114.199997,97.637550,2785290
2018-06-28,113.739998,114.699997,111.660004,112.320000,96.030205,2407789
2018-06-29,112.980003,113.900002,112.720001,113.220001,96.799683,2518020
2018-07-02,111.599998,113.879997,111.279999,112.580002,96.252502,2196627
2018-07-03,113.040001,114.559998,112.800003,113.940002,97.415260,1577051
2018-07-04,113.900002,114.239998,113.120003,114.239998,97.671745,1246082
2018-07-05,113.919998,115.459999,113.820000,114.699997,98.065041,2061377
2018-07-06,115.199997,115.279999,114.000000,115.080002,98.389938,2025778
2018-07-09,115.900002,116.120003,114.339996,115.820000,99.022606,1621763
2018-07-10,115.900002,117.919998,115.599998,117.400002,100.373459,1824933
2018-07-11,116.160004,116.519997,115.339996,115.620003,98.851616,2082254
2018-07-12,116.000000,116.440002,115.400002,116.440002,99.552681,1315239
2018-07-13,116.459999,117.379997,116.360001,116.639999,99.723679,1429463
2018-07-16,116.339996,117.739998,116.279999,116.660004,99.740784,1074411
2018-07-17,116.339996,117.620003,115.699997,117.160004,100.168266,1592665
2018-07-18,117.440002,118.360001,117.139999,118.360001,101.194221,1446238
2018-07-19,118.500000,119.440002,117.699997,117.980003,100.869347,1785508
2018-07-20,118.000000,118.260002,115.540001,116.800003,99.860474,2815112
2018-07-23,116.279999,117.040001,116.099998,116.900002,99.945969,1075670
2018-07-24,117.300003,119.019997,116.860001,118.260002,101.108727,1770032
2018-07-25,118.160004,118.760002,117.400002,117.620003,100.561546,1608124
2018-07-26,118.599998,120.559998,118.480003,120.379997,102.921272,2614149
2018-07-27,120.980003,121.459999,120.440002,120.779999,103.263260,1884438
2018-07-30,120.519997,120.779999,119.879997,120.300003,102.852867,1104201
2018-07-31,120.480003,121.440002,119.839996,120.760002,103.246155,1815088
2018-08-01,121.059998,121.699997,119.660004,119.820000,102.442482,2218668
2018-08-02,116.239998,116.379997,113.300003,114.199997,97.637550,4560440
2018-08-03,114.199997,114.500000,111.680000,112.139999,95.876320,3244488
2018-08-06,111.820000,112.680000,110.779999,111.699997,95.500130,2595472
2018-08-07,111.720001,112.839996,111.639999,112.360001,96.064407,2130302
2018-08-08,112.099998,112.940002,111.820000,112.000000,95.756622,1633604
2018-08-09,111.720001,112.699997,111.400002,112.360001,96.064407,1558197
2018-08-10,111.660004,111.879997,110.320000,110.540001,94.508369,2852352
2018-08-13,110.660004,111.260002,110.279999,110.339996,94.337364,1667616
2018-08-14,110.660004,111.220001,109.839996,110.699997,94.645149,1880889
2018-08-15,111.099998,111.739998,109.160004,109.760002,93.841492,2763561
2018-08-16,110.080002,110.639999,109.680000,110.080002,94.115082,1683657
2018-08-17,110.279999,110.480003,109.300003,110.000000,94.046684,1639559
2018-08-20,110.099998,111.440002,110.000000,110.800003,94.730652,1309517
2018-08-21,110.300003,111.320000,110.120003,110.660004,94.610962,1594302
2018-08-22,110.279999,111.779999,110.279999,111.000000,94.901642,1428551
2018-08-23,110.680000,112.559998,110.680000,111.839996,95.619820,1629235
2018-08-24,112.139999,112.540001,111.559998,112.260002,95.978912,1298528
2018-08-27,112.639999,113.540001,112.019997,113.180000,96.765488,1152115
2018-08-28,113.680000,114.120003,113.320000,113.320000,96.885185,1432750
2018-08-29,113.620003,113.940002,113.180000,113.739998,97.244270,1141825
2018-08-30,113.559998,113.580002,112.180000,113.220001,96.799683,1289895
2018-08-31,112.820000,113.019997,111.620003,111.980003,95.739517,2000198
2018-09-03,111.760002,112.120003,110.800003,111.400002,95.243629,1032499
2018-09-04,111.699997,111.839996,109.620003,110.019997,94.063774,1605378
2018-09-05,109.839996,110.099998,108.559998,108.620003,92.866829,2537441
2018-09-06,108.419998,109.419998,108.180000,108.540001,92.798416,2165804
2018-09-07,108.160004,109.040001,108.019997,108.199997,92.507736,2295578
2018-09-10,108.220001,108.820000,108.120003,108.419998,92.695831,2060318
2018-09-11,108.540001,109.019997,107.599998,108.680000,92.918121,2197182
2018-09-12,108.699997,110.000000,108.699997,109.500000,93.619194,1688516
2018-09-13,109.360001,110.080002,109.279999,109.300003,93.448204,1654247
2018-09-14,109.580002,110.000000,108.660004,109.320000,93.465294,1850121
2018-09-17,109.000000,109.559998,108.739998,109.000000,93.191704,1554012
2018-09-18,108.760002,109.879997,108.480003,109.080002,93.260109,1844553
2018-09-19,109.279999,109.720001,108.820000,109.220001,93.379807,1463540
2018-09-20,108.919998,110.440002,108.919998,110.080002,94.115082,2330270
2018-09-21,110.480003,110.779999,109.639999,110.239998,94.251877,6059229
2018-09-24,110.300003,111.500000,110.239998,111.040001,94.935852,2264273
2018-09-25,111.099998,112.120003,110.919998,111.580002,95.397530,1644651
2018-09-26,112.000000,112.059998,111.099998,111.500000,95.329132,1528882
2018-09-27,111.000000,111.800003,110.300003,111.500000,95.329132,1676211
2018-09-28,111.120003,111.480003,109.919998,110.339996,94.337364,2800928
2018-10-01,110.040001,111.019997,109.940002,110.339996,94.337364,2003036
2018-10-02,107.699997,108.160004,106.519997,107.419998,91.840858,3898813
2018-10-04,106.800003,107.580002,105.879997,106.980003,91.464676,3372895
2018-10-05,106.760002,107.040001,105.160004,105.400002,90.113815,2528399
2018-10-08,105.000000,105.239998,104.559998,104.779999,89.583733,2192870
2018-10-09,104.720001,105.160004,103.239998,104.519997,89.361443,2534461
2018-10-10,104.220001,104.540001,102.260002,102.500000,87.634407,3138815
2018-10-11,101.300003,101.779999,100.180000,100.500000,85.924469,3913852
2018-10-12,101.800003,102.419998,99.730003,99.760002,85.291786,2861354
2018-10-15,99.720001,100.519997,99.050003,100.500000,85.924469,1953505
2018-10-16,100.720001,102.059998,100.419998,101.779999,87.018829,2248873
2018-10-17,101.879997,102.720001,101.279999,102.260002,87.429222,2187466
2018-10-18,102.540001,103.419998,101.300003,101.360001,86.659744,2144054
2018-10-19,101.680000,101.720001,99.879997,100.099998,85.582481,3417836
2018-10-22,101.599998,101.820000,100.099998,100.239998,85.702179,2094616
2018-10-23,99.400002,100.080002,98.510002,99.440002,85.018204,3230238
2018-10-24,99.620003,101.779999,99.339996,99.980003,85.479889,2823839
2018-10-25,99.180000,101.639999,98.610001,101.260002,86.574249,2791484
2018-10-26,100.559998,100.940002,98.629997,100.080002,85.565376,3308202
2018-10-29,100.800003,102.839996,100.099998,101.580002,86.847832,2481089
2018-10-30,102.480003,102.480003,99.809998,100.139999,85.616676,2831960
2018-10-31,101.339996,102.419998,101.199997,101.720001,86.967537,3499109
2018-11-01,101.459999,102.959999,101.080002,101.660004,86.916245,2304624
2018-11-02,102.760002,104.019997,102.360001,102.680000,87.788300,2826283
2018-11-05,102.620003,103.440002,102.220001,102.699997,87.805405,1558891
2018-11-06,103.000000,103.000000,101.760002,101.800003,87.035934,1851746
2018-11-07,102.019997,103.480003,102.019997,102.739998,87.839600,1662575
2018-11-08,102.000000,104.839996,102.000000,103.519997,88.506477,2460143
2018-11-09,103.019997,103.300003,101.860001,102.339996,87.497612,2697445
2018-11-12,102.779999,103.099998,100.120003,100.160004,85.633781,2817837
2018-11-13,100.360001,102.019997,100.059998,101.699997,86.950432,2306909
2018-11-14,100.919998,101.860001,100.040001,100.540001,85.958664,2343362
2018-11-15,101.139999,102.160004,100.500000,101.360001,86.659744,2587000
2018-11-16,101.779999,102.400002,100.500000,101.339996,86.642639,3033865
2018-11-19,100.839996,101.599998,99.760002,100.019997,85.514076,2261596
2018-11-20,99.169998,100.080002,98.360001,98.919998,84.573608,2883010
2018-11-21,99.620003,100.980003,99.419998,100.760002,86.146767,2114129
2018-11-22,100.540001,101.059998,99.970001,100.099998,85.582481,1578355
2018-11-23,100.160004,100.620003,99.650002,100.540001,85.958664,1492296
2018-11-26,101.000000,103.059998,100.900002,102.459999,87.600204,2331956
2018-11-27,102.739998,102.940002,101.620003,102.599998,87.719902,1675297
2018-11-28,102.860001,103.080002,102.139999,102.419998,87.566002,1698703
2018-11-29,102.720001,103.720001,102.139999,102.300003,87.463417,1722423
2018-11-30,102.639999,102.779999,102.000000,102.400002,87.548912,2039177
2018-12-03,103.879997,104.699997,103.800003,104.040001,88.951057,2624046
2018-12-04,103.559998,103.820000,102.739998,103.000000,88.061897,1917322
2018-12-05,101.860001,101.959999,100.620003,101.000000,86.351952,2214554
